Centre 2018,PASS (Initial Test),FAIL (Initial Test),PASS (Re-test),FAIL (Re-test),Total Passes
Abbeyfeale,8458,6880,6370,578,14828
Arklow,13093,13520,11973,1209,25066
Athlone,8593,9574,8510,782,17103
Ballina,8178,8853,8200,589,16378
Ballinasloe,8383,7405,6690,491,15073
Cahir,13122,15268,13467,1160,26589
Cahirciveen,1654,1591,1425,85,3079
Carlow,11056,14868,12943,1195,23999
Carndonagh,3498,3234,3066,243,6564
Carrick-on-Shannon,5360,7202,6472,526,11832
Castlerea,5626,8286,7144,744,12770
Cavan,6105,8967,7949,971,14054
Charleville,8245,8245,7474,598,15719
Clifden,1773,2449,2275,193,4048
Cork-Blarney,20614,21764,19080,1894,39694
Cork-Little Island,33256,30686,29576,2318,62832
Deansgrange,51663,38548,36972,3032,88635
Derrybeg,2273,2999,2836,137,5109
Donegal Town,5468,5399,5023,425,10491
Drogheda,17326,18405,16235,1584,33561
Dundalk,10347,10796,9941,968,20288
Ennis,14656,15612,14486,1395,29142
Enniscorthy,17341,18192,16523,1509,33864
Fonthill,35881,46365,38238,4027,74119
Galway,26520,27015,24966,2283,51486
Greenhills-Exit-11-M50,30258,32906,33503,3489,63761
Kells,15817,16614,14840,1387,30657
Kilkenny,15424,11158,10887,732,26311
Killarney,9799,8535,8173,570,17972
Letterkenny,9556,10566,10077,822,19633
Limerick,24443,25045,23964,2316,48407
Longford,6587,7449,6853,711,13440
Macroom,8218,7856,7114,414,15332
Monaghan,5462,7712,7005,817,12467
Mullingar,9385,9999,9059,738,18444
Naas,21012,21670,19674,1765,40686
Nenagh,10929,11794,10533,906,21462
Northpoint 1 Exit 4 M50,27273,31482,28300,2962,55573
Northpoint 2 Exit 4 M50,40386,44195,40557,3788,80943
Portlaoise,13402,10383,9645,670,23047
Skibbereen,7069,8493,7962,545,15031
Sligo,8981,9793,9086,656,18067
Tralee,10941,9978,9549,728,20490
Tullamore,10711,9296,8794,615,19505
Waterford,19952,17383,15514,1220,35466
Westport,9805,9927,9023,734,18828
Youghal,7844,7694,6733,564,14577
Total,661743,682051,624679,56085,1286422
